Welcome to the profile statistics browser.
profile.txt% profile.txt% Tue Sep 29 15:08:21 2020    profile.txt

         4711831 function calls (4499771 primitive calls) in 36.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.110    0.005 /usr/local/lib64/python3.8/site-packages/numba/core/runtime/nrtopt.py:159(remove_redundant_nrt_refct)
      461    0.006    0.000    0.109    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/cgutils.py:362(alloca_once)
        1    0.000    0.000    0.109    0.109 /usr/local/lib64/python3.8/site-packages/numba/core/registry.py:1(<module>)
     3204    0.034    0.000    0.109    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
      171    0.001    0.000    0.109    0.001 /usr/lib64/python3.8/sre_compile.py:598(_code)
        3    0.000    0.000    0.108    0.036 /usr/local/lib64/python3.8/site-packages/pandas/io/parsers.py:1184(read)
        1    0.000    0.000    0.108    0.108 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:4(<module>)
     1452    0.027    0.000    0.106    0.000 /usr/local/lib64/python3.8/site-packages/torch/optim/optimizer.py:166(zero_grad)
       14    0.000    0.000    0.105    0.007 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:211(add_llvm_module)
        1    0.000    0.000    0.104    0.104 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:1(<module>)
     5808    0.104    0.000    0.104    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
        6    0.000    0.000    0.103    0.017 /usr/local/lib64/python3.8/site-packages/numba/core/codegen.py:264(_finalize_final_module)
     3686    0.009    0.000    0.101    0.000 /usr/local/lib64/python3.8/site-packages/numba/core/datamodel/manager.py:33(__getitem__)
3393/2811    0.009    0.000    0.101    0.000 /usr/lib64/python3.8/contextlib.py:108(__enter__)
      108    0.002    0.000    0.101    0.001 /usr/local/lib64/python3.8/site-packages/numba/core/cgutils.py:99(__init__)
